family,manufacturer,case_code,A,D,E,L
RESC,Yageo,RC0075,0.1+-0.01,0.3+-0.01,0.15+-0.01,0.08+-0.03
RESC,Yageo,RC0100,0.13+-0.02,0.4+-0.02,0.2+-0.02,0.1+-0.03
RESC,Yageo,RC0201,0.23+-0.03,0.6+-0.03,0.3+-0.03,0.15+-0.05
RESC,Yageo,RC0402,0.35+-0.05,1+-0.05,0.5+-0.05,0.25+-0.1
RESC,Yageo,RC0603,0.45+-0.1,1.6+-0.1,0.8+-0.1,0.25+-0.15
RESC,Yageo,RC0805,0.5+-0.1,2+-0.1,1.25+-0.1,0.35+-0.2
RESC,Yageo,RC1206,0.55+-0.1,3.1+-0.1,1.6+-0.1,0.4+-0.2
RESC,Yageo,RC1210,0.5+-0.1,3.1+-0.1,2.6+-0.15,0.5+-0.2
RESC,Yageo,RC1218,0.55+-0.1,3.1+-0.1,4.6+-0.1,0.4+-0.2
RESC,Yageo,RC2010,0.55+-0.1,5+-0.1,2.5+-0.15,0.5+-0.2
RESC,Yageo,RC2512_1W,0.55+-0.1,6.35+-0.1,3.1+-0.15,0.5+-0.2
RESC,Yageo,RC2512_2W,0.55+-0.1,6.35+-0.1,3.1+-0.15,1.15+-0.2
CAPC,Yageo,BA,0.3+-0.03,0.6+-0.03,0.3+-0.03,0.1..0.2
CAPC,Yageo,CA,0.5+-0.05,1.0+-0.05,0.5+-0.05,0.15..0.35
CAPC,Yageo,DA,0.8+-0.1,1.6+-0.1,0.8+-0.1,0.2..0.6
CAPC,Yageo,DB,0.8+-0.15,1.6+-0.15,0.8+-0.15,0.2..0.6
CAPC,Yageo,DC,0.8+-0.2,1.6+-0.2,0.8+-0.2,0.2..0.6
CAPC,Yageo,E0,0.6+-0.1,2.0+-0.1,1.25+-0.1,0.25..0.75
CAPC,Yageo,EA,0.85+-0.1,2.0+-0.1,1.25+-0.1,0.25..0.75
CAPC,Yageo,EB,1.25+-0.2,2.0+-0.2,1.25+-0.2,0.25..0.75
CAPC,Yageo,F0,0.85+-0.1,3.2+-0.15,1.6+-0.15,0.25..0.75
CAPC,Yageo,F1,1.0+-0.1,3.2+-0.2,1.6+-0.2,0.25..0.75
CAPC,Yageo,FA,1.15+-0.1,3.2+-0.2,1.6+-0.2,0.25..0.75
CAPC,Yageo,FC,1.6+-0.2,3.2+-0.3,1.6+-0.2,0.25..0.8
CAPC,Yageo,FD,1.6+-0.3,3.2+-0.3,1.6+-0.3,0.3..0.9
CAPC,Yageo,G0,0.85+-0.1,3.2+-0.2,2.5+-0.2,0.25..0.75
CAPC,Yageo,G1,1.15+-0.1,3.2+-0.4,2.5+-0.3,0.25..0.75
CAPC,Yageo,GA,1.25+-0.2,3.2+-0.4,2.5+-0.3,0.25..0.75
CAPC,Yageo,G2,1.6+-0.2,3.2+-0.4,2.5+-0.3,0.25..0.75
CAPC,Yageo,GB,1.9+-0.2,3.2+-0.4,2.5+-0.3,0.25..0.75
CAPC,Yageo,GC,2.5+-0.2,3.2+-0.4,2.5+-0.3,0.25..0.75
CAPC,Yageo,GD,2.5+-0.3,3.2+-0.4,2.5+-0.3,0.25..0.75
CAPC,Yageo,JA,0.85+-0.1,4.5+-0.2,3.2+-0.2,0.25..0.75
CAPC,Yageo,JB,1.15+-0.1,4.5+-0.2,3.2+-0.2,0.25..0.75
CAPC,Yageo,JC,1.6+-0.2,4.5+-0.4,3.2+-0.4,0.25..0.75
